timestamp,ax,ay,az,gx,gy,gz,lat,lng,alt,speed,bearing
24598.416,-2.7833,7.6025,5.0539,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.421,-2.4148,7.5762,5.2310,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.430,-2.1611,7.5618,5.4248,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.443,-2.3047,7.5115,5.5923,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.449,-2.5129,7.3536,5.8077,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.460,-2.6517,7.2148,5.9178,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.468,-2.5727,7.4254,5.8029,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.479,-2.4818,7.6862,5.3817,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.489,-2.3932,7.9590,5.0946,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.498,-2.2353,7.9543,5.1089,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.509,-2.2138,7.7987,5.1448,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.518,-2.1252,7.7293,5.3770,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.528,-2.0367,7.6647,5.7215,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.539,-1.8668,7.5714,6.0183,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.548,-1.6610,7.5785,6.2313,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.559,-1.6849,7.5738,6.3868,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.569,-1.9194,7.5498,6.5017,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.578,-2.0678,7.5857,6.3629,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.589,-2.1539,7.5977,6.1882,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
24598.598,-2.1444,7.5474,6.1188,0.0000,0.0000,0.0000,0.000000,0.000000,0.0,0.00,0.0
